reference_group,reference_feature,reference_basis,recommended_status,notes,candidate_source_tables,db_availability,readiness_status,main_model_candidate
market_internal,lagged market_vwap / log return / momentum / realized volatility,"price-models.md: VWAP, 유동성, 기술적 지표; feature-engineering.md: 시차 피처",derive_now,target horizon의 미래 가격/거래량은 제외하고 기준일 이전 rolling/lag만 사용한다.,raw.krx_ets_daily,available,derive_now,True
market_internal,"blended day, n_vintages, vwap_range, liquidity flags",price-models.md: 빈티지/유동성 부족 처리,derive_now,current-day 또는 lagged 형태를 명확히 구분한다.,raw.krx_ets_daily,available,derive_now,True
auction_policy,"auction volume, auction price, auction proximity","feature-engineering.md: 공급/정책 변수, 경매 공급량 조정",use_with_lag,월별/경매일 기준 사용 가능일 검토 후 forward-fill한다.,raw.krx_auction_monthly,available,use_with_lag,True
energy_spread,clean spark spread,feature-engineering.md: CSS = P_elec - gas cost - carbon cost,derive_now,EPSIS monthly asof rule과 market_vwap lag/asof 기준을 맞춘다.,raw.epsis_smp_monthly; raw.epsis_fuel_cost_monthly; raw.krx_ets_daily,available,derive_now,True
energy_spread,clean dark spread,feature-engineering.md: CDS = P_elec - coal cost - carbon cost,derive_now,fuel_cost 테이블에서 석탄/LNG 구분 가능성을 확인해야 한다.,raw.epsis_smp_monthly; raw.epsis_fuel_cost_monthly; raw.krx_ets_daily,available,derive_now,True
energy_spread,fuel switching price / spread gap,feature-engineering.md: fuel switching price,derive_now,heat rate/emission factor 상수 또는 외부 reference가 필요할 수 있다.,raw.epsis_smp_monthly; raw.epsis_fuel_cost_monthly,available,derive_now,True
power_epsis,"power supply, generation mix proxy, power trade volume",feature-engineering.md: 전력 생산/수요와 탄소 수요 연결,use_now,active/high asof rule이 있으므로 우선 후보로 둔다.,raw.epsis_power_supply_daily; raw.epsis_power_trade_volume_monthly,available,use_now,True
weather,"HDD/CDD, temperature anomaly, precipitation, wind rolling features","feature-engineering.md: HDD/CDD, 기온/강수/풍속",derive_now,KMA daily asof rule을 적용하고 anomaly는 과거 정보만으로 계산한다.,raw.kma_asos_weather_daily; raw.kma_asos_weather_station_daily,available,derive_now,True
macro_financial,"KOSPI, USD/KRW, rates, industrial/macro indicators","feature-engineering.md, price-models.md: 거시경제/금융시장 지표",review_required,source별 발표일/빈도 확인 후 lag 적용이 필요하다.,raw.macro_indicators,available,review_required,False
external_market,"oil/LNG/coal/commodity prices, returns, volatility","feature-engineering.md: 에너지 가격, 원자재 가격",use_with_lag,일별 시장가격은 lag/asof 기준을 명확히 두고 월별 commodity는 보수적 lag를 적용한다.,raw.oil_daily; raw.commodities_monthly,available,use_with_lag,True
external_market,"EUA price/return/volatility, KAU-EUA spread",feature-engineering.md: 글로벌 탄소시장/CBAM 연계,derive_now,time zone과 장마감 기준을 보수적으로 처리하기 위해 최소 1일 lag 후보를 함께 만든다.,raw.eua_daily; raw.krx_ets_daily,available,derive_now,True
gir_supply_compliance,"total allowance, pre-allocation, certified emissions, carryover, borrowing, offset ratios","feature-engineering.md, price-models.md: 공급/수급/제도 변수",review_required,period_start와 annual_t+1을 구분해야 한다. 같은 연도 실제값을 1월부터 붙이면 leakage다.,raw.gir_total_allowance; raw.gir_pre_allocation; raw.gir_certified_emissions; raw.gir_carryover; raw.gir_borrowing; raw.gir_offset_issuance,available,review_required,False
policy_regime,"phase dummy, compliance month dummy, 4기/MSR dummy, distance-to-threshold","feature-engineering.md: 정책 충격, compliance cycle, MSR",derive_now,날짜/제도 rule 기반 파생. 정책 event 날짜가 별도 DB에 없으면 rule-based dummy부터 시작한다.,raw.krx_ets_daily; raw.krx_auction_monthly; raw.gir_total_allowance,available,derive_now,True
credit_spread,KAU-KOC/KCU spread,"feature-engineering.md: KAU, KCU, KOC 간 스프레드",not_available,현재 확인된 raw table에는 KOC/KCU 가격 source가 없다.,,not_available,not_available,False
sentiment_attention,"Naver/Google search index, news sentiment, topic intensity",feature-engineering.md: 검색지수/뉴스 정서,not_available,현재 DB source 없음. future work로 분리한다.,,not_available,not_available,False
decomposition,EMD/VMD/CEEMDAN/IMF features,"feature-engineering.md, price-models.md: 신호 분해 기반 모델",review_required,분해가 full-sample로 계산되면 leakage 가능성이 높다. walk-forward 내부에서만 계산해야 하므로 초기 baseline에서는 보류한다.,raw.krx_ets_daily,available,review_required,False
