feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_all,missing_30d,missing_60d,missing_train,missing_valid,missing_test,constant_rate,baseline_candidate_by_missing,abs_ic_30d,abs_ic_60d,max_abs_ic,baseline_candidate,drop_reason
epsis_power_supply_daily__minimum_demand_mw,EPSIS 전력수급 최저수요(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.952626641651032,0.9622731614135626,0.9720347155255545,1.0,1.0,0.8202846975088968,0.7524752475247525,False,0.45334554111351505,0.559203781481979,0.559203781481979,False,missing_over_30pct_in_target_or_split
epsis_power_trade_volume_monthly__trade_volume_ppa_total_gwh,EPSIS 전력거래량 전력거래량(PPA 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.29409005628517826,0.2917860553963706,0.29508196721311475,0.5805555555555556,0.0,0.0,0.036544850498338874,False,0.16238932793074395,0.3041726684728078,0.3041726684728078,False,missing_over_30pct_in_target_or_split
epsis_smp_monthly__blmp_krw_per_kwh,EPSIS SMP BLMP(원/kWh),power_epsis,전력/EPSIS,raw.epsis_smp_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,1.0,False,,,,False,near_constant
kma_asos_weather_daily__station_count,KMA 전국 ASOS 기상 관측소 수,weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False,near_constant
krx_auction_monthly__acc_trdcnt,KRX 배출권 경매 거래건수,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.17191142191142192,False,0.14667400166688965,0.2105862730085456,0.2105862730085456,False,missing_over_30pct_in_target_or_split
krx_auction_monthly__acc_trdvol,KRX 배출권 경매 거래량,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.08508158508158509,False,0.06107534476656096,0.06200578681488997,0.06200578681488997,False,missing_over_30pct_in_target_or_split
krx_auction_monthly__auct_trd_partc_cnt,KRX 배출권 경매 경매 참여자 수,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.17365967365967366,False,0.08750357810264725,0.16104159039587007,0.16104159039587007,False,missing_over_30pct_in_target_or_split
krx_auction_monthly__auct_trd_qty,KRX 배출권 경매 경매 체결수량,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.05944055944055944,False,0.005348892709382549,0.002719940555736706,0.005348892709382549,False,missing_over_30pct_in_target_or_split
krx_auction_monthly__auct_trd_rto,KRX 배출권 경매 경매 체결률,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.05944055944055944,False,0.16090297320743407,0.13404146176028706,0.16090297320743407,False,missing_over_30pct_in_target_or_split
krx_auction_monthly__clsprc,KRX 배출권 경매 종가,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.05944055944055944,False,0.1103759064407367,0.1890460549469741,0.1890460549469741,False,missing_over_30pct_in_target_or_split
krx_auction_monthly__hgst_ord_prc,KRX 배출권 경매 최고 주문가격,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.05944055944055944,False,0.12181235030689838,0.19513872631905255,0.19513872631905255,False,missing_over_30pct_in_target_or_split
krx_auction_monthly__lwst_ord_prc,KRX 배출권 경매 최저 주문가격,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.07051282051282051,False,0.1274967005034153,0.20544372749414305,0.20544372749414305,False,missing_over_30pct_in_target_or_split
krx_auction_monthly__onewayauct_appl_qty,KRX 배출권 경매 단일가 경매 신청수량,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.1993006993006993,False,0.033194216082833,0.0364694907843419,0.0364694907843419,False,missing_over_30pct_in_target_or_split
